trade_date,close_price,portfolio_value_PPO_RawPrice,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_RawPrice
2024-11-22,229.869995,192.1805950957672,180.39146539687,186.99077539676625,199.35723252596244,168.00651536397373,158.3067974160622,229.869995,48.43059509576719
2024-11-25,232.869995,192.1805950957672,180.39146539687,189.43116491428592,199.35723252596244,170.19914405434247,158.3067974160622,232.869995,48.43059509576719
2024-11-26,235.059998,193.9879386300921,182.08793921864142,191.21265170246483,199.35723252596244,171.79976519094038,158.3067974160622,235.059998,50.23793863009209
2024-11-27,234.929993,193.88064941807733,181.98723155787593,191.10689742272308,199.35723252596244,171.70474762664324,158.3067974160622,234.929993,50.130649418077326
2024-11-29,237.330002,193.88064941807733,183.8463853766222,193.0592163579074,199.35723252596244,173.4588571568243,158.3067974160622,237.330002,50.130649418077326
2024-12-02,239.589996,193.88064941807733,185.5970773429622,194.89763824699318,199.35723252596244,175.11063305164473,158.3067974160622,239.589996,50.130649418077326
2024-12-03,242.649994,193.88064941807733,187.9674880235288,197.38683392793686,199.35723252596244,177.34711285406837,158.3067974160622,242.649994,50.130649418077326
2024-12-04,243.009995,193.88064941807733,188.24636082521516,197.6796814835024,199.6530034092973,177.61022902778888,158.54166494866385,243.009995,50.130649418077326
2024-12-05,243.039993,193.90458272057893,188.26959861151295,197.70408375175128,199.67764927127624,177.6321538529401,158.561235883864,243.039993,50.15458272057893
2024-12-06,242.839996,193.90458272057893,188.11467203153438,197.70408375175128,199.51333503505379,177.4859807995442,158.561235883864,242.839996,50.15458272057893
2024-12-09,246.75,193.90458272057893,191.14353520159466,197.70408375175128,202.72572982540947,180.34370978282973,158.561235883864,246.75,50.15458272057893
2024-12-10,247.770004,194.7061367225782,191.93367571012462,198.5213439594235,203.56374828670567,181.08920646106003,159.21668915578488,247.770004,50.95613672257821
2024-12-11,246.490005,193.70026976420837,190.94213149973146,198.5213439594235,202.51212222206215,180.1536856173789,159.21668915578488,246.490005,49.95026976420837
2024-12-12,247.960007,193.70026976420837,192.0808604927747,198.5213439594235,203.71985161738053,181.22807513741205,159.21668915578488,247.960007,49.95026976420837
2024-12-13,248.130005,193.70026976420837,192.21254851181098,198.5213439594235,203.85951917004056,181.3523226347805,159.21668915578488,248.130005,49.95026976420837
2024-12-16,251.039993,193.70026976420837,194.46675476799828,198.5213439594235,206.2503173101953,183.47916369392343,159.21668915578488,251.039993,49.95026976420837
2024-12-17,253.479996,193.70026976420837,196.35688971965985,198.5213439594235,208.25498352681612,185.26250388805204,159.21668915578488,253.479996,49.95026976420837
2024-12-20,254.490005,194.472082210364,197.1392876562168,199.31236631722373,209.08479026098118,186.00069545836226,159.85109933226894,254.490005,50.72208221036399
2024-12-23,255.270004,195.06812931112145,197.7435096068296,199.31236631722373,209.7256245731923,186.5707781869819,159.85109933226894,255.270004,51.31812931112145
2024-12-24,258.200012,195.06812931112145,200.01322424629853,201.6000884101352,212.13287081511444,188.7122513882519,161.68588208195834,258.200012,51.31812931112145
2024-12-26,259.019989,195.68761564742783,200.64841493551432,202.2403185728444,212.80655039268305,189.3115530867994,162.19935496487952,259.019989,51.93761564742783
2024-12-27,255.589996,195.68761564742783,197.9913896559329,199.56221299612528,209.98852472208102,186.8046527336114,160.05147960482748,255.589996,51.93761564742783
2024-12-30,252.199997,195.68761564742783,195.36534550926672,199.56221299612528,207.20335746217256,184.32698304437093,160.05147960482748,252.199997,51.93761564742783
2025-01-27,229.860001,178.35351333650246,178.0597900408595,199.56221299612528,188.84918524982515,167.99921098692988,160.05147960482748,229.860001,34.60351333650246
2025-01-28,238.259995,178.35351333650246,178.0597900408595,199.56221299612528,188.84918524982515,167.99921098692988,160.05147960482748,238.259995,34.60351333650246
2025-01-29,239.360001,178.35351333650246,178.0597900408595,199.56221299612528,188.84918524982515,167.99921098692988,160.05147960482748,239.360001,34.60351333650246
2025-01-30,237.589996,177.03463545776626,178.0597900408595,198.08650229534615,188.84918524982515,166.75690048308377,160.05147960482748,237.589996,33.28463545776626
2025-01-31,236.0,177.03463545776626,178.0597900408595,196.76087094888325,188.84918524982515,165.6409326005787,160.05147960482748,236.0,33.28463545776626
2025-02-03,228.009995,177.03463545776626,178.0597900408595,190.0993440730954,188.84918524982515,160.03300090700546,160.05147960482748,228.009995,33.28463545776626
2025-02-04,232.800003,180.7537589116297,178.0597900408595,190.0993440730954,188.84918524982515,160.03300090700546,160.05147960482748,232.800003,37.00375891162969
2025-02-05,232.470001,180.49753425020492,178.0597900408595,189.82987172372086,188.84918524982515,160.03300090700546,160.05147960482748,232.470001,36.74753425020492
2025-02-06,233.220001,181.07985949692636,178.0597900408595,190.4423051696724,188.84918524982515,160.03300090700546,160.05147960482748,233.220001,37.32985949692636
2025-02-14,244.600006,181.07985949692636,178.0597900408595,199.73496607246696,188.84918524982515,160.03300090700546,160.05147960482748,244.600006,37.32985949692636
2025-02-18,244.470001,181.07985949692636,177.96515119197792,199.6288068589457,188.84918524982515,159.94794330368342,160.05147960482748,244.470001,37.32985949692636
2025-02-19,244.869995,181.07985949692636,178.2563320828631,199.9554331306523,188.84918524982515,160.20964501502678,160.05147960482748,244.869995,37.32985949692636
2025-02-20,245.830002,181.7897787856333,178.95518179939893,200.73935365751578,188.84918524982515,160.83774312350243,160.05147960482748,245.830002,38.0397787856333
2025-02-21,245.550003,181.7897787856333,178.7513528462972,200.5107126542718,188.84918524982515,160.654549831917,160.05147960482748,245.550003,38.0397787856333
2025-02-24,247.100006,182.93730352212077,179.87969790750995,200.5107126542718,188.84918524982515,161.66866113780495,160.05147960482748,247.100006,39.18730352212077
2025-02-25,247.039993,182.93730352212077,179.83601065518943,200.5107126542718,188.84918524982515,161.62939678683256,160.05147960482748,247.039993,39.18730352212077
2025-02-26,240.360001,182.93730352212077,174.9732226592046,200.5107126542718,188.84918524982515,157.2589178842491,160.05147960482748,240.360001,39.18730352212077
2025-02-27,237.300003,182.93730352212077,174.9732226592046,200.5107126542718,188.84918524982515,155.25687107027872,160.05147960482748,237.300003,39.18730352212077
