trade_date,close_price,position,action
2023-11-17,189.690002,LONG,HOLD
2023-11-20,191.449997,LONG,HOLD
2023-11-21,190.639999,LONG,HOLD
2023-11-22,191.309998,LONG,HOLD
2023-11-24,189.970001,FLAT,SELL
2023-11-27,189.789993,LONG,BUY
2023-11-28,190.399994,LONG,HOLD
2023-12-05,193.419998,LONG,HOLD
2023-12-06,192.320007,FLAT,SELL
2023-12-07,194.270004,LONG,BUY
2023-12-08,195.710007,LONG,HOLD
2023-12-11,193.179993,LONG,HOLD
2023-12-12,194.710007,LONG,HOLD
2023-12-13,197.960007,LONG,HOLD
2023-12-14,198.110001,LONG,HOLD
2023-12-15,197.570007,LONG,HOLD
2023-12-18,195.889999,FLAT,SELL
2023-12-19,196.940002,LONG,BUY
2023-12-20,194.830002,FLAT,SELL
2024-04-11,175.039993,LONG,BUY
2024-04-12,176.550003,LONG,HOLD
2024-04-15,172.690002,LONG,HOLD
2024-04-16,169.380005,FLAT,SELL
2024-04-29,173.5,LONG,BUY
2024-04-30,170.330002,FLAT,SELL
2024-05-01,169.300003,FLAT,HOLD
2024-05-02,173.029999,LONG,BUY
2024-05-03,183.380005,LONG,HOLD
2024-05-06,181.710007,LONG,HOLD
2024-05-07,182.399994,LONG,HOLD
2024-05-08,182.740005,LONG,HOLD
2024-05-09,184.570007,LONG,HOLD
2024-05-10,183.050003,FLAT,SELL
2024-05-13,186.279999,LONG,BUY
2024-05-14,187.429993,LONG,HOLD
2024-05-15,189.720001,LONG,HOLD
2024-05-16,189.839996,LONG,HOLD
2024-05-17,189.869995,LONG,HOLD
2024-05-20,191.039993,LONG,HOLD
2024-05-21,192.350006,LONG,HOLD
2024-05-22,190.899994,LONG,HOLD
2024-05-23,186.880005,FLAT,SELL
2024-05-24,189.979996,LONG,BUY
2024-05-28,189.990005,LONG,HOLD
2024-05-29,190.289993,LONG,HOLD
2024-05-30,191.289993,LONG,HOLD
2024-05-31,192.25,LONG,HOLD
2024-06-03,194.029999,LONG,HOLD
2024-06-04,194.350006,LONG,HOLD
2024-06-05,195.869995,LONG,HOLD
2024-06-06,194.479996,LONG,HOLD
2024-06-07,196.889999,LONG,HOLD
2024-06-11,207.149994,LONG,HOLD
2024-06-12,213.070007,LONG,HOLD
2024-06-13,214.240005,LONG,HOLD
2024-06-14,212.490005,LONG,HOLD
2024-06-17,216.669998,LONG,HOLD
2024-06-18,214.289993,FLAT,SELL
2024-06-20,209.679993,FLAT,HOLD
2024-06-21,207.490005,FLAT,HOLD
2024-06-24,208.139999,LONG,BUY
2024-06-25,209.070007,FLAT,SELL
2024-06-26,213.25,LONG,BUY
2024-06-27,214.100006,LONG,HOLD
2024-06-28,210.619995,FLAT,SELL
2024-10-01,226.210007,FLAT,HOLD
2024-10-02,226.779999,LONG,BUY
2024-10-03,225.669998,LONG,HOLD
2024-10-04,226.800003,LONG,HOLD
2024-10-07,221.690002,FLAT,SELL
2024-10-08,225.770004,FLAT,HOLD
2024-10-09,229.539993,LONG,BUY
2024-10-10,229.039993,LONG,HOLD
2024-10-11,227.550003,FLAT,SELL
